"title","review","rating","date"
"High hopes unfulfilled","Heavily expository dialog, slow pacing, odd framing of scenes--why so many shots from behind when characters are speaking?--and clumsy fight choreography are just some of the factors that prevented me from enjoying the first two episodes of a show I was eagerly anticipating. I can't believe I'm saying this, but I prefer the admittedly flawed film. Even the SFX in the film seemed better, and to check my memory, I rewatched the film after struggling to stay awake during the Disney+ series, and yes, those effects from 2010 survive the comparison. The early encounter with the minotaur, for example, feels more kinetic and dangerous in the film, while the TV version fails to convince that the adolescent Percy could in any way survive the encounter.","5","22 December 2023"
"The movie adaptation was better than this & thats saying a lot","I was really looking forward to this show. I read the books as a kid and really enjoyed them and of course like many others, when the movies came out I was disappointed with how they failed to follow the source material and that was the main downfall of the movie adaptation & with this show we were supposed to get a loyal adaptation that goes more in depth because its a TV show & yet its making the exact same mistakes as the movies while somehow feeling MORE rushed than the movie adaptation, which doesn't make sense at all because it's a TV show, they should be able to go more in depth, right?  The breakneck pace of the show felt like they were speed-running through the plot, leaving no time to savor the story's essence. It's like they threw the script together in a rush, resulting in cringeworthy dialogue and performances that made it impossible to take things seriously. If I was a viewer who hadn't read the books, I wouldn't even be able to process what was happening, they do a poor job of explaining the story and the significance of a lot of important things in the plot.  Connecting with Percy, our main guy, was a struggle. He felt as bland as unseasoned chicken. There was this void where his personality should've been-nowhere near as charismatic or relatable as he was in the books. It's tough to root for a hero who doesn't make you feel anything.  The whole cast in general, unfortunately, didn't do much to save the day. I was hoping for engaging, funny characters that I could latch onto, but it was like they missed the memo on charm and relatability all the characters have in the books. Clarisse was the lone standout who had a shred of resemblance to her book self, but the rest fell flat. It's disappointing when a show fails to capture the spark that made the source material so beloved. This TV show was supposed to be a better adaptation of the books, but, so far, it's been a worse adaptation than the movies.","1","23 December 2023"
"After 2 Episodes it's...alright","This is my 2 episode review, so take it with a healthy grain of salt. As someone who grew up reading the books, this show has a special place in my heart by default. When it was announced, I was extremely excited. I'm glad to say that it, in some ways, lives up to my expectations. I loved seeing book-accurate Camp Half-Blood and the characters actually act like themselves (unlike in another movie). In other ways, it unfortunately falters, resulting in a less than stellar viewing experience.  The show is very faithful to the books, almost to a fault. The editing is quite choppy, with an uncomfortably long black screen repeatedly indicating a scene shift. This makes the story feel disjointed, to the point that I sometimes felt like I was watching a stage play. Characters would run offscreen when the scene changes and anything not on screen is treated like it doesn't exist by the actors. Of course, this is expected given the younger, more inexperienced cast, though I felt a distinct lack of soul nonetheless. The music is also quite bland, adding very little to the scenes. There are thankfully a few standout performances so far. The first is by Virginia Kull as Sally Jackson, who elevates a lot of the emotional beats of the first episode. Second, Aryan Simhadri makes a very convincing Grover, demonstrating a clear understanding of the nerdier, nervous Grover that we haven't seen yet in live action. The rest of the cast remains unfortunately wooden, which I fear is a result of the poor writing and direction. Walker Scobell has his moments as Percy, but most of the time looks like he doesn't know why he's on set. His delivery is passable, comparable to Daniel Radcliffe's in the first Harry Potter movie. I expect, if the series continues, he'll grow into his role as the titular character. Some scenes from the book that serve to characterize our heroes, such as Luke's duel with Percy or Annabeth giving the tour, are cut, resulting in a less emotionally engaging viewing. CGI and green screen are generously used for the settings and monsters, with varying quality outcomes. The Minotaur looked very good, but the Big House looks like an airbrushed CGI monstrosity. A lot of the sets felt like aircraft hangars, with unconvincing lighting and design. The direction and cinematography made me feel more like I'm watching everything happen from a few feet away than like I'm actually in the story. There's also a distinct lack of scene setting shots. It's just plain ugly to look at too many times for me not to say anything.  In short, I'm excited to see a more faithful adaptation of one of my favorite childhood book series, though I feel like a lot of the technical and directional creative choices are really taking away from that. I remain hopeful that the show will prove itself with some of the more poignant emotional beats later on, but so far it's not great. I'm giving it an optimistic 7/10 now, mostly because I really love the original series, but we'll see what happens next. I hope the next episodes shatter my expectations.","7","20 December 2023"
"Disappointed","Disappointed.  That's the right word to describe how I'm feeling after watching the first few episodes. I'm a fan of the books. When I was a kid I was more obsessed with Percy Jackson than Harry Potter. I even got to wear an orange shirt and go to ""half-blood"" meetings in the squares.  1- It sounds silly, but if you read the books and were a fan, you understand why most fans didn't really like the differences in physiognomy of the main characters (mainly Percy and Annabeth). And ignoring the differences in physiognomy, I also didn't like the performance of the actors who play most of the main characters (only Grover saves).  2- It's very childish. I understand that in the first book, Percy is 12 years old, but some scenes that were supposed to convey fear or apprehension were so ridiculous that instead of being apprehensive, I laughed, because they were so ridiculous (for example the scene with the minotaur). Percy Jackson is children's literature, but it is not a cartoon.  3- I was too anxious, and I was disappointed. Before, I hoped the series would last until Heroes of Olympus, but today I don't even know if I'll be able to finish watching the first season...  Note: If you're looking for something to watch with your kids, or if you're under 15, you'll probably like it. Otherwise, probably won't.","1","21 December 2023"
"FAITHFUL TO THE BOOKS, FUNNY AND FAST PACED","This is what happens when you involve the creator of the books in making of a show. The show is updated, funny, fast paced and emotional. I love what they did with Gabe, to highlight Sally's character. The minotaur scene is exceptional, I love the locations and the dialogues. Walker is so funny and on point as Percy. His chemistry with his costars are on the roof. You will really root for hin as the lead. I love how they're also fleshing out Grover and his dynamics with Percy. I want to say, Percy and Annabeth's chemistry is so good. Leah Jeffries nails her every line delivery. The music, Bear Mcreary is a genius, I love the main theme and the score. Can't wait for the next episodes.","10","20 December 2023"
"Sadly disappointing","I watched just the first episode for now (but read all the books), and there are several glaring issues: 1) horrible action scenes - the fight with Harpy Dodds in the beginning is over in a second, without reading the book it's hard to understand how she was defeated at all (she just went poof in the show lol)  Also the Minotaur fight was just awful - first of all Percy somehow sees from the front seat in the dark and pouring rain that it's the Minotaur (who is still pretty far away) who's chasing them, and even the fact that it's in underpants (felt really out of pocket in the scene they made  The part after the car crashed was even worse - no sense of danger or urgency, they spent forever just standing there speaking and then there was that stupid standoff where Percy's mom ""died"" very anticlimacticly (and storywise her ""sacrifice"" did nothing with how Percy was just standing there, again)  Then the Percy vs Minotaur fight was meh as well, it reminded me of Harry vs Troll fight in first Harry potter movie (this is not a compliment), and somehow Percy broke off the horn with his bare hands?!? (reminder that this kid is 12)  2) terrible pacing in general - everything felt very boring and janky at the same time  3) Percy is not very similar to book Percy in personality - book Percy is a snarky and fun protagonist to follow while this Percy is on the bland side (don't think this is the actors fault, but more like how filmmakers approached adapting the source material)  I really hope they'll improve later because at least the first episode was a big heap of disappointment.","3","25 December 2023"
"Honestly just feels a bit sloppy","I read the books a while back, but long enough to not remember much so I'm watching the show fresh. So far the story is decent I would say. No extreme flaws in my opinion right now. My biggest issue is just the actual quality of the show. First off, the acting just hurts. Percy couldn't be paid to show emotion, I swear. Grover is pretty decent in my opinion. Jason Mantzoukas is just himself as usual, if not more tame. It's not helped by the cheesy writing. The bully girl feels like a stupid satire. The way she has her goons and is just annoying for no reason. Like she will be like, ""I don't want to kill you,"" and then proceed to attack him with a spear with hits that if connected, would have literally impaled him. Like is she just mad he killed the monster, why is she trying to murder him. Also why wouldn't Mr. D and Centaur guy tell Percy his mother was in the underworld. Like aren't they trying to get him to go down there anyway, why not give him the most compelling reason he could ever have. VFX aren't terrible in my opinion. Most centaur scenes look pretty solid. The editing is odd though. Throughout both episodes, scenes will awkwardly fade to black before jump cutting back in, hard to describe. It just feels a bit sloppy.","5","21 December 2023"
"It is good but","This is a great show. A very typical fantasy adventures and it has all the story lines and directions as you would expected. Nothing extraordinary or clever twists (not yet as only 2 episodes released so far). And it doesn't need to be. It doesn't try hard to be different.  This is simply a fun family entertainment and I like it.  However, the main lead acting is not convincing. His expression is almost the same in every scene and barely convey much emotion according to the events in front of him. Good looking does not make you a great actor. He needs to improve his acting for thr next season. Great kid actor/actress he can check out are. Summer Fontana (Hope in The Original) and Colton Osorio (young Luffy in One Piece).  Other than the lead actor, everything else is good so far.","7","27 December 2023"
"This is a great show but.....","I just watched the first two episodes of Percy Jackson and The Olympians. It was great and stay more true to the original source than the movies. The cast was great and CGI was better. Story pace well done, not too quick not to slow. But..... for me personally something still missing.  Bring me back Alexandra Daddario and Pierce Brosnan! I don't care what role they would play in this series but really, they were really iconic as Annabeth and Chiron. Actually I miss Logan Lerman too but since he cannot reprise his role as Percy, so I think I just might let it go this time. But Alexandra and Pierce?! No way man  Good series 8/10.","8","21 December 2023"
"A lot of nitpicks but overall Wish the quality was better","Just off of the first 2 episodes alone, I wish the overall quality was better. I have read the books and I love them and I like that thier keeping more to the sourse material unlike the movies which didnt. The movies weren't that great. But for me the overall quality in the movie that's over 11 years old looks much better than the show. Thiers a lot of weird fade to black scenes that was just random, I wasnt a fan of that. The Minotaur didn't feel threatening at all expessially with Sally playing Luchador with it, the movie version just seemed a lot more threatening. And thier 2-3 minute conversation they had outside of camp basically just waiting for the minotaur to catch up. Instead of actuall metal armour to protect themselves during capture the flag they just wear leather armour to protect themselves from real swords and magic weapons. And Jason Mantzoukas seemed to be the best adult actor out of the entire cast so far. I'm not gonna go on about the child actors since thier still new to acting.","6","20 December 2023"
"I really liked it.","First I would like to say that I haven't read the books so this review is based solely on the show. (I did get spoiled on a couple things in a later book though)  This show is really charming and fun. The characters are well written, the story is intriguing and it hooked me straight away.  I love the tone and feeling of the show. It feels really great and it's very easy to just sit down and watch.  I also really love the storyline with Percy being a halfblood. I've never been into Greek mythology but this show has surprised me with how much I like it.  The pacing is perfect for me and I love seeing them do camp stuff.  I especially love the main trio of the show. I haven't seen much of them all together but I can already tell it's going to be great.  I'm so excited for the rest of the season and I hope it gets renewed soon.","10","20 December 2023"
"I'm Actually Impressed","Firstly, this show rekindled the nostalgic fantasy fiction vibe from my childhood, and even at 20, I appreciate its mature approach without losing its charm. Walker Scobell shines as Percy, capturing the youthful yet troubled, loyal facets of the character impeccably. The portrayal of side characters, especially Grover, Annabeth, and Luke, stood out for me, offering a nuanced and authentic touch. The characters feel refreshingly new while staying true to their book counterparts. A standout moment, notably in episode two during the capture the flag scene, where Percy is claimed as Poseidon's son, became my favorite.","10","21 December 2023"
"I gave it a chance...","Honestly? It's pretty bad. After seeing the casting I was worried, and rightfully so. It's one thing to cast a black girl in the role of Annabeth but to have a blond Percy is just a kick in the pants. But nevertheless I gave it a chance. My one true hope was that the the actor for Percy would pull through considering how great he was in that movie with Ryan Reynolds but not even he was up to par. But even with the bad acting you can hope the series is accurate with the books right? Wrong. The portrayal of camp half blood is actually not half bad but take ""Smelly Gabe"" for instance... my guy is not the hated character I grew up with. He's just kinda mid. He's not even as abusive as he was in the books. Anyways let me give a run down of the inaccurate casting: Percey has Blond hair, Annabeth is black, Grover is East Indian, Luke is Asian, Chiron is black, Clairese is black. Like what the heck??? Oh and side note but Luke pronounces Thalia's name wrong.","2","27 December 2023"
"Not the show I wanted","The series so far had made Sally Jackson a jerk, Grover a traitor, and Percy a wuss. All he cares about is being accepted by his dad. Missing big parts of the book. So far, the movie intro was better than both episodes.  Percy is the best character, for sure. He's a great Percy Jackson. He's just been put in bad situations. Love his sass.  Grover is alright. He does things though that are nothing like book Grover at all.  Annabeth...I'm not sure about yet. A lot of her parts were given to Luke.  Love Luke. Perfect selection of him. No complaints at all.  CGI switches from good to terrible depending on the situation. Soundtrack is very good though and the fight scenes have been cool.","2","20 December 2023"
"Literal Perfection","I don't know how Rick managed to do it but he somehow captured exactly how I always imagined the books and put it on the screen! Everything from the cast to the cinematography to the music to the set design was better than I ever could have imagined. The young cast is incredible (Walker is literally Percy come to life) and the supporting characters easily steal the show in their moments. The additions to the story are also very well done and work to flesh out the world of the books. I honestly couldn't ask for a better adaption of my favourite childhood books. Percy Jackson you will always be famous. 10/10 no notes.","10","20 December 2023"
"Great Potential","As a long time fan of the books and hater of the OG films I came into this with a lot of excitement and anxiety.  Let me say this straight up. If you're a fan of the books, don't be afraid of this show. It's got the solid makings of what we always wanted. Starting with its main three cast members and a strong supporting cast. You can tell the intention from the makers is there too. The world feels tangible and like they're trying to bring what's on the page to the screen in a way that honors Rick's writing and if something's a little different that's ok too, because Uncle Rick is the one who adapted it anyways.  Just like with any show/series there will be growing pains and figuring out what works and what doesn't. So far, after the first two episodes (as that's all that's available) my biggest complaints are the pacing, I wish we could rest in the world a little more at times, editing, there are jump cuts and pacing issues, and directing choices, the actors are not being used to their full potential at moments but get away with raw talent.  All of these things can be easily remedied as the series progresses and matures. All we have to do is put our support behind it.","7","20 December 2023"
"Why not stick to the books?","I was really looking forward to the series after watching the movies and then reading the books. The first movie was ""okay"" for me. The second one was a disaster. About 2-3 years ago, I started reading the books because I really like stories about mythology.  I don't understand why a series is created if so much from the books is still ignored. In my opinion, Annabeth is completely misrepresented in terms of character. What's up with the weak portrayal of Medusa? I get it's Disney, but did Medusa really need to wear the cap?! Why doesn't Percy have a backpack and carries that silly shoebox around? And why is the series so rushed?  We still didn't have time to bond with the characters and he is already on his mission.  Don't they all learn from GOT that a rushed season won't be enjoyed by fans?","3","28 December 2023"
"EVERYTHING I HOPED FOR!","I read the Percy Jackson series as a kid, and loved it. It's always meant a lot to me, so naturally I've waited for it's adaption to TV. I saw the movie version with Logan Lerman and felt a lot things were missing. I was content with Lerman as Percy, but the rest of the cast felt off to me, in my opinion. The age difference also annoyed me, because it felt important that the story begins when they are actual kids and so on. So I am sooo thrilled about the TV show. I think Walker Scobell does and excellent job as well as the rest of the cast. It's visually beautiful and everything I imagined while reading. So I couldn't be happier. I definitely recommend watching it!","10","20 December 2023"
"Lower than expectations","My expectations for this new series weren't that high considering what I've seen from the trailers. But the show still didn't meet my low expectations.  Now the show isn't terrible. There are many small things in here that fans and non-fans of the book series can appreciate. But overall, the series is lackluster.  One of the biggest problems is the characters. Grover is nothing like how he is in the books. There's a scene in the book where Percy gets in trouble and Ms Dodds, the fury, tries to take him away to punish him but Grover tries to take the blame for Percy. It shows that Grover is both a loyal friend and a great protector. In the show, one of the first things he does is betray Percy by getting him kicked out of school. There was no reason for this betrayal. Rick Riordan didn't include this in his book because it creates unnecessary conflict which causes a rift between Grover and Percy's friendship.  They ruined Gabe's character. I don't praise the movies often, but Gabe Ugliano was one the best parts of the first movie. He was a terrible guy who you loved to hate. In the show, he's quite the pushover and it doesn't feel like Sally is struggling to raise Percy. She has Gabe wrapped around her finger, which makes her feel weaker here, not strong.  When we get to Annabeth, she's reduced to nothing more than a stalker. That's her entire relationship with Percy while they're at camp: she stalks him. Oh and also she says he drools in his sleep because that was a line from the book. Except whereas in the book it's played for laughs. Here it's unsolicited and makes no sense in context.  There's actually many times when a character will just exposit information when it's uncalled for. Like Grover saying how he's 24 when nobody asked or how he brings up his Uncle Ferdinand. Or how Dionysus calls Percy, Peter Johnson, out of the blue because that's what's in the books. Dionysus also felt really off. He's played as a petulant scammer instead of a unruly authoritarian with godlike power.  I'll probably watch the next episode, but I won't be expecting much.","4","27 December 2023"
"All I can say is WOW","I read this book in grade 5, the year after it was released. I read it agin in the anticipation of the series and WOW. It is the best book to screen adaptation I have ever seen in my life. I cannot believe how wonderful it is. I absolutely sobbed. I work in the film industry and I have never seen a better screen to film adaptation in my life. I read the book again in antics and I can not believe how close this show is. The older movies were horrible, I think all of us OG fans can agree on that. This completely blows the older films out of the water. I can not believe how phenomenal this show is.","10","20 December 2023"
"The Adaptation We Have Waited Over A Decade For","I originally had my doubts on whether this show would be a faithful adaptation or yet another disappointment, but with Rick being heavily involved in creating the show, I had high hopes. I never had any reservations about the cast though. For me it isnt about the color of an actors skin, their religion, or anything else that makes everyone so unique, its all about how they can portay the characters and make it their own, and for everyone involved they did exactly that. Leah is Annabeth Chase, the way she speaks and acts and carries herself both in the show and in real life. She is a true a daughter of Athena. Aryan Is Grover Underwood. You can really feel all the emotions and the way he cares deeply not just for Percy, but for his mom and everyone at camp, he truly is amazing. And finally Walker is Percy Jackson. He brings Percys humor and snark to reality. If you dislike the show because the characters arent what you envisioned them as in your minds, then honestly I dont want to hear from you. Race or hair color, or any other attribute should not make or break a character. I knew the second the first episode started that this was gonna be a faithful adaptation of the books than the two Peter Johnson movies ever were. We got flashbacks of baby Percy, we got Sally Jackson and Smelly Gabe playing an expanded role than they ever did in the movies, and we even got Nancy Bobofit and Clarisse. Two characters that were noticeably absent in the first movie. All of the acting and visual effects and easter eggs (the one that really stood out to me was Percy and Grover with the mythomagic cards). I cant wait to see the rest of the book come to life in this amazing adaptation from Disney and look forward to seeing more easter eggs and scenes not in the book and the eventual announcement of more seasons in the future.","10","20 December 2023"
"Stunningly well made","Reviving my faith in humanities ability to make a decent fantasy series!  Almost every character feels accurate to the book, I only have a problem with Dionysus because the actor always plays a dumb comic relief, and some of the acting can be stiff which is forgivable since the cast is mostly very young.  After the abysmal movie adaptation I'd lost hope this series would ever receive a faithful adaptation, thankfully I've been proven wrong. I can barely remember the books but watching this version is unlocking key memories from my teenage years, and honestly even without the nostalgia this show is phenomenal on a level I don't think any other teen fantasy drama tv show has achieved.","9","20 December 2023"
"THAT'S HOW YOU DO ADAPTATIONS!","Doesn't matter you have read the books or not, you're gonna love the show. Its a strong recommendation for people like me who love this children's fantasy action/adventure genre.  First of all, props to Rick Riordan for starting the 1st episode with the monologue as it was in the books. I think they have fixed pretty much everything wrong with the movies. Walker Scobell might not have Percy's hair but he matches his energy. Annabeth is different from the books only on the basis of looks not personality.  Overall, the show has great quality and magnificent cinematography, especially that Minotaur scene was visual masterpiece. If the show continues to be this good, believe me it is going to be a big thing in the future like the Harry Potter series.","8","20 December 2023"
"Very meh","When compared to the movies the show is a lot more accurate, but many noticeable details are off. The characters have no emotion, the casting is terrible, and the acting is questionable at best. While I understand wanting the characters to be as age accurate as possible, an extra year or two to their age would have done wonder as far as acting skills go. They obviously don't care about many other details that are arguably less minor than age. While parts are funny, other jokes just don't land at all. There are also parts unnecessarily added compared to the book. Overall it is a very meh show that did not meet my expectations.","2","21 December 2023"
"Disappointed But Hopeful","I unfortunately was disappointed and disheartened by both the first two episodes and the majority of the reviews claiming this show to be ""perfect"" and ""amazing."" As an avid fan of the books myself and having grown up with them over the past 11 years, I was shocked at how many other self proclaimed book lovers called this the adaptation we finally deserved. I think we could have done better.  Pros: The cinematography was stunning. It drew me into the world for sure, especially in the first 5 minutes before things went sideways.  Walker Scobell makes a great Percy in terms of energy and delivery. His acting is incredibly grounded (especially in comparison to others). As for other characters, acting was over the top either as a directing choice or the actors choice, making it to less believable and more kiddie. Bringing us to...  Good for younger kids. I'll get more into this point later too, but if you're concerned if you're 4th grader can watch this, I definitely think it's fine for them.  Cons The Script: I love Rick Riordan. I love his books. But I'm not sure he and the writers room knew how to translate that writing style into a shorter form script for television. To me, it felt like someone's first screenplay who's used to writing longer form, so I'm wondering if that's exactly what happened.  The writing felt incredibly base. There was no subtext at all. Characters said exactly what they meant. Pacing was all over the place. You can tell in the first episode all that's happening is rushing to get to Camp Half-Blood. Huge inciting incidents in the book are over in about 10-30 seconds in the show, while added unnecessary content is drawn out for some reason.  Brief Spolier: For example, why did we spend time on Percy talking to a maintenance man outside the hallway of his apartment, and not on the fight with Mrs. Dodds which wasn't even a fight?  The exposition dump in episode one is painful. Obviously you need to explain how this world works to new viewers, but I don't understand why we had to explain so much so soon and so fast. I would've preferred we figured it out along the way. Build some mystery and intrigue.  Character Arcs and Personas Heavily Altered: Sally Jackson, Grover, and Gabe had some pretty out of character moments in comparison to their book counterparts.  Spoiler: Instead of Percy overhearing Grover talk to Mr. Brunner privately about Percy, Grover lies to the principal and gets him expelled in front of his face. I guess they're trying to establish a sense of betrayal. But I don't know why that was done by villainizing Grover.  Spoiler: Gabe is no threat whatsoever. He's a bum who's just kind of there as opposed to the abuser he is in the books. Which brings me to...  Spoiler: Sally. Seems emotionally unstable and eccentric. Sits out in the pouring rain listening to a sad Olivia Rodrigo song and I don't know why. She's the one thing in Percy's life that is stable and happy. I guess they wanted to give her ""more dimension"" but it came across as erratic to me. She also stands up to Gabe immediately as opposed to taking his awfulness quietly for Percy's sake. In the books she stands up to him but not until the very end because she goes on a whole character arc. Here she does it immediately which automatically takes out any stakes of Gabe being dangerous.  Little Screen Time For Main Characters: Where were Annabeth and Grover (our main two characters next to Percy) like all of episode two?  Confusing target audience: As I said before, this show would be great for kids. But that's also my con. Because it was not advertised to be as kiddie as it was. Obviously this is all based on a YA book series, so yes kids read it and that's the main audience. I was 12 during my first read through. What I love about the books though is that I've continued to re-read them in my adult years and find them just as good and relatable. It's something an adult can read to a kid that they'd both enjoy.  Then the show rolls around and it's advertised like it will be the next Harry Potter or Star Wars adaptation. For kids but also adults too. I, however, felt like this was only the slightest step above Disney channel. 4th grade me would've loved. Adult me who went to film school and learned how to write, direct, produce, and act does not.  Overall, this show feels more like supplementary material to the original story as opposed to an adaptation. It's the same core story but with different ways of getting there that we haven't seen before. Now that I know this and that I'm definitely not the target audience I'm still wary but hopeful to see how the rest of it turns out. I can go in with that mindset as opposed to the epic adaptation I was expecting it to be. It (hopefully) can only continue to improve over time as they find their footing.","4","22 December 2023"
"Overrated and Underperforming","30 minutes into the first episode and it's actually making me cringe. The pacing is off and the dialogue is horrible, but some how the acting manages to be so so so much worse. Are they reading off a teleprompter??? The monotoned one emotion acting is not only cringeworthy but an affront to the comparatively minimal mistakes made in the first attempt at this series.  Filled with a cast of unremarkable actors, the acting and directing makes me think of the D-list movies that would run on the SciFi channels after 10pm on weeknights (except those actually had suspense).  This show should be renamed ""Percy Jackson and the Maximum Dose of Valium"".","1","22 December 2023"
